model,task,source_set,code,name,stage,pillar,score,verdict,confidence,evidence
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,D.3,Statistical Misuse,D,P3,2,HIT,0.85,"Section A, issue A2 (noise floor characterized only at events 150–153, after all paid observations); Section B, issue B3 (only 4 of 50 free sims used reps>1); Section C, issue C9 (a 2-rep mean compared against a 1-rep range)."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,D.4,Method-Conclusion Disconnect,D,P1,2,HIT,0.8,"Section D, issue D7: the masking mechanism is admitted untested yet “the report nonetheless opens at line 5 with the masked-generator claim as the one-line conclusion”; Sentence-by-Sentence Checklist row 1 marks the headline ⚠️."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,D.5,Baseline & Ablation Deficit,D,P2,1,PARTIAL,0.5,"Section F, issue F4: the blockers instrument was validated at events 47–48 but “预算限制下未对真细胞执行阻断探针” — the single most direct ablation-style test was never run on the specimen."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,D.7,Unremediated Adversarial Evidence,D,P3,2,HIT,0.7,"Section D, issue D5: the report concedes “双向 severity 都被夸大” yet “H9 remains SUPPORTED in the register (report line 100)”; issue D4: a control the agent itself declares invalid is still listed under 主控制."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,E.1,Report-Code Traceability Gap,E,P1,2,HIT,0.8,"Section E, issue E3: the final narration claims “8 探针全部先预登记后执行” while the log shows 5 of 8; issue E2: report line 28 says long step = 26 but event 176 submitted 27; issue C1 flags the false pre-forecast-derivation sentence at report line 89."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,E.2,Overclaiming & Selective Narrative,E,P3,2,HIT,0.8,"Section C, issue C11: five attacks dropped with no disposition while the report certifies “攻击债=0” — “Presenting a filtered subset as an exhaustive adversarial record”; Section E, issue E3 calls the 8/8 prereg sentence “a false claim… most likely to be quoted.”"
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,F.2,Failure to Gate Critical Flaws,F,P2,1,PARTIAL,0.55,"Section X, issue X1: “nothing in the campaign's extensive apparatus of gates, anchors and ledgers checked a two-digit sum”; the final narration certified a prereg discipline the log contradicts (Section E, issue E3)."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,F.3,Lack of Adversarial Perspective,F,P2,1,PARTIAL,0.6,"Section F, issue F3: “adversarial pressure was applied almost entirely to hypotheses that could no longer be harmed, and the two attacks aimed at the live claim arrived when the register was frozen”; issue F2: successful attacks were absorbed narratively rather than tested."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,F.4,Uncorrected Self-Awareness,F,P2,2,HIT,0.8,"Section F, issue F1: the self-initiated reps=20 calibration destroyed the opening finding but was filed as advice for a future campaign with “no hypothesis was un-refuted, no band was re-centered”; Section C, issue C5: the harness warning about the mass kill was dismissed as “no change.”"
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,X.1,Cascading Error Propagation,X,P4,2,HIT,0.9,"Section X, issue X1: “One arithmetic slip propagated through four stages and emerged as epistemic virtue” — from the 8/8 budget miscount into subagent briefings, the filed blocker probe, and two “预算已尽” honest-unknowns in the report."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,X.5,Teleological Reasoning,X,P3,2,HIT,0.85,"Section A, issue A1: the H13 ruling's grounds are “题面保证存在额外电流、世界名 ca_rebound、holdout 6 协议中 4 个为纯释放反跳协议” — “answer contamination through the task envelope”; Section D, issue D3 traces the circular chain name → forecast → MSE → P8 → SUPPORTED."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,X.6,Right-for-the-Wrong-Reason,X,P1,1,PARTIAL,0.5,"Section X, issue X2 (“Right direction, wrong reason”) and Sentence-by-Sentence Checklist row 19: the direction “release counts far exceed the reference” is correct but “came from the world name, not from measurement.”"
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,X.7,Cognitive Anchoring & Re-planning Failure,X,P2,1,PARTIAL,0.5,"Section A, issue A3: the spike-count-only ruling's premise “ceased to be true after one observation, and no re-ruling appears anywhere in the remaining 150 events.”"
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,X.8,Engineering Delivery Failure,X,P4,2,HIT,0.85,"Section E, issue E1: “decision.json is literally {} — 2 bytes… a delivered artifact that is empty is a delivery failure regardless of how good its sibling is.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,A.1,Frame-Lock & Tunnel Vision,A,P2,2,HIT,0.7,"Section A, issue A2: “The hypothesis space was designed along one axis, and the agent's own post-hoc ruling admits it” — H1–H6 differed almost exclusively in the sign and magnitude of a conditioning effect, so P3's 35 failed all six bands at once and “the first three probes bought roughly one dimension of information for three budget units.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,A.2,Unfalsifiable Hypothesis,A,P3,2,HIT,0.8,"Section C, issue C4: “Both P7 bands were registered with the answer already in hand, making the test unfalsifiable in practice” — H10's 12-wide band centered above the known 35 with ≈4σ of headroom, so “the probability of landing in [24,30] was zero.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,A.6,Hypothesis-Experiment Mismatch,A,P1,2,HIT,0.65,"Section C, issue C3: H10's promotion and H11's refutation “rest entirely on the empty probe,” and issue C1 states P7 “carried zero bits of information beyond P3” and “could not have landed anywhere except 35”; the “foresight prediction” framing “implies a test that was never at risk.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,B.2,Retrieval-to-Action Gap,B,P1,1,PARTIAL,0.6,"Section B, issue B1: after H10 was formulated “no candidate simulation was run to check H10's own parameters against the observations” although the free forward model had been demonstrated; “G13 [181] makes precisely this criticism, and the agent recorded it without acting.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,B.3,Unvetted Data Quality & Units,B,P4,1,PARTIAL,0.5,"Section B, issue B2: “Reference baselines were quoted with false precision throughout” — 5- and 10-rep means of a noisy process (e.g. 26.6 from [29,26,22,26,30]) treated as known constants in band derivations."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,C.1,Circular Validation & Shortcut Reliance,C,P3,2,HIT,0.9,"Section C, issue C1: “P7 is not an independent replication; world_observe returned a byte-identical payload to P3” — identical 2010-character returns, identical SHA-256 voltage arrays (879baa51…), “zero bits of information beyond P3.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,C.3,Implementation Discrepancy,C,P1,2,HIT,0.8,"Section C, issue C7: “The forecast was computed from the reference model and a P2 ratio, not from H10” — five of six submitted numbers are reference-model outputs scaled by an empirical ratio; issue C10 adds that the suppression ladder “contradicts H10's own mechanism.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,C.8,Environment Interaction Failure,C,P4,2,HIT,0.65,"Section C, issue C2: the agent generalized from P6's reps=2 result that “repeat observation gives an independent draw” and applied it to P7 at reps=1 — “The discriminating variable is reps, not repetition, and the evidence for that distinction was already in the log.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,D.3,Statistical Misuse,D,P3,2,HIT,0.8,"Section D, issue D1: the σ≈3 noise estimate is “attributed to the wrong protocol and derived from n = 2” when free 10-rep simulations gave SD ≈ 1.6; Section B, issue B2: bands drawn with 1-spike gaps against baselines whose standard error is ≈1.35."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,D.4,Method-Conclusion Disconnect,D,P1,2,HIT,0.85,"Core Verdict: “the causal chain from mechanism to score is much weaker than the report asserts”; Section C, issue C3: “the report presents a two-observation confirmation where one exists”; Section X, issue X1: “the score cannot be read as validation of H10.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,D.5,Baseline & Ablation Deficit,D,P2,1,PARTIAL,0.55,"Section D, issue D4: the register “ends with a SUPPORTED claim and a SCOPED claim that the agent's own attack ledger says are indistinguishable under every observation taken”; Checklist row 1 marks the headline “unseparable from the ‘missing outward current’ mirror family… and from H5's scoped remnant.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,D.7,Unremediated Adversarial Evidence,D,P3,2,HIT,0.75,"Section F, issue F3: “The attack ledger records fourteen attacks and digests almost none of them” — G7's zero-budget spike-amplitude test on an already-possessed trace was never run; Section C, issue C4: G10's retrodiction criticism was “recorded… then repeated the pattern one hypothesis later.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,E.1,Report-Code Traceability Gap,E,P1,2,HIT,0.75,"Section C, issue C9: the derivation cell printed “cond -35/+10: 13” but world_forecast submitted 14 with “no intervening cell, comment, or reasoning text”; issue C6: the reported 24.7 “is the correctly-weighted value while the description is of the unweighted one.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,E.2,Overclaiming & Selective Narrative,E,P3,2,HIT,0.9,"Section E, issue E2: the report states MSE “≈ 1” when the returned value is 1.427 — “a 30% understatement of the error, in the favorable direction, on the campaign's only externally-scored quantity”; issue E1: §5 asserts “two independent observations” that were not independent."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,E.3,Omission of Critical Limitations,E,P3,2,HIT,0.7,"Section E, issue E3: “The report never mentions that the forecast was not derived from H10… the central fact — that the scored numbers are reference-model outputs — is absent,” leaving the reader believing the mechanism was predictively validated."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,F.2,Failure to Gate Critical Flaws,F,P2,2,HIT,0.8,"Section F, issue F5: “No verification was performed on the forecast before an irreversible submission” — no sanity check that “would have surfaced immediately” the C9 discrepancy; issue F2: the terminal forecast was fired at [163] before the grill's verdict at [164]."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,F.3,Lack of Adversarial Perspective,F,P2,2,HIT,0.6,"Section F, issue F1: after collect_attacks returned 0 four times, “the agent declared with the SUPPORTED hypothesis never having faced an independent reviewer,” substituting “parent-authored attacks on the parent's own surviving hypothesis.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,F.4,Uncorrected Self-Awareness,F,P2,2,HIT,0.85,"Section F, issue F4: G4/G1 demanded reps ≥ 2 or explicit σ accounting; the agent applied it to P6 “and then failed to apply it to P7, its final and most consequential probe” — “The agent had written the rule and did not follow it at the moment it mattered most.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,X.1,Cascading Error Propagation,X,P4,2,HIT,0.85,"Section X, issue X2: “The determinism error propagates from a single unexamined call into the register, the report, and the final verdict” — into the claim_transition [158], register.json, the calibration ledger, report §§1–5, and the declared, sha256-stamped artifact [192]."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,X.2,Goal Drift,X,P3,2,HIT,0.8,"Section X, issue X4: “Goal drift from forecasting to mechanism was never re-examined despite the scored deliverable being the forecast” — the forecast “appears once, in a single improvised cell 145 events later,” and budget was never weighed against the scored objective."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,X.3,Skeptical Reasoning Deficit,X,P2,1,PARTIAL,0.6,"Section C, issue C1: “the failure is not the attempt but the absence of any check on whether the second draw was actually a second draw, when the returned arrays made it trivially verifiable”; Section F, issue F3: the agent “never analyzed a single one” of the returned voltage arrays beyond the spike count."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,X.5,Teleological Reasoning,X,P3,1,PARTIAL,0.5,"Section C, issue C4: the P7 band “was drawn around a number already observed”; Section X, issue X3: “the process rewarded producing a probe that would land in-band over producing a probe that might not resolve.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,X.6,Right-for-the-Wrong-Reason,X,P1,2,HIT,0.85,"Section X, issue X1: “Right answer, wrong chain: the score is largely independent of the campaign” — a null strategy of “submit the reference model, corrected by the one conditioning observation” would have produced nearly the same six numbers."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,A.1,Frame-Lock & Tunnel Vision,A,P2,1,PARTIAL,0.6,"Section A, issue A1: every registered band is a spike-count interval and “no hypothesis was ever phrased in terms of” the trace observable; issue A4: the first mechanism simulation (idx 18) was already an ih channel despite the prior's “not a named textbook channel” warning."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,A.5,Metric Misalignment,A,P3,2,HIT,0.65,"Section A, issue A3: “The forecast was treated as an epilogue rather than as the objective… the allocation is inverted relative to what was being measured”, with “223.6 of 223.6 total squared error” living in the four items that received the least analytic effort; issue A2 adds the 5/2/1 budget split was never re-optimized against the scoring surface."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,A.6,Hypothesis-Experiment Mismatch,A,P1,1,PARTIAL,0.55,"Section C, issue C6: under determinism “a repeat observation has no power to distinguish”, making P5's registered severity calculation structurally inapplicable; issue C9: mtau was fitted only to steady-state plateaus, “never to a time course”, though it governs the rebound items."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,B.2,Retrieval-to-Action Gap,B,P1,2,HIT,0.6,"Section B, issue B2: of 7 free prepulse simulations containing a zero-current rebound epoch, “Not one of those 7 was analyzed for gap-window activity”; the Numerical Grounding Notes gap-window table concludes “All obtainable free; none computed by the agent.”"
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,C.1,Circular Validation & Shortcut Reliance,C,P3,1,PARTIAL,0.6,"Section C, issue C6 and Checklist row 12: “长步适应 22 (P3) 被确定性复现 22 (P5)” is “a tautology (a deterministic function returning the same value twice) as confirmation.”"
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,C.5,Infrastructure Error Misdiagnosis,C,P4,2,HIT,0.6,"Section C, issue C2: 0 of 12,912 simulated samples fall below −95.0 mV while real traces reach −97.93 mV, so the report's “reference flat” contrast is partly a clamp artifact; the analysis says the evidential chain conflates clamping with absence of Ih and “overclaims its own strength” (also Retraction Log item 2, Checklist row 3 “Misleading”)."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,C.6,Search Space Local Optimization,C,P2,1,PARTIAL,0.6,"Section C, issue C12: cond+test received 27 of 59 free simulations — “46% of all free compute” — refining a conductance already pinned by idx 87, while the scored brief-step protocol got 2 and the gap/aliasing analyses got none."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,C.7,Premature Termination,C,P2,1,PARTIAL,0.55,"Section B, issue B3: after the KeyError on a held-out label the agent moved on, and “Treating a blocked path as terminal rather than as a prompt to find the nearest simulable analogue is the single highest-leverage missed move in the run.”"
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,D.1,Artifacts as Insights,D,P1,2,HIT,0.85,"Section C, issue C1 (THE HEADLINE): “the rebound predictions were read off a trace that resolves only ~1/3 of the spikes the meter counts”; Section D, issue D2: the −19/−28 mV humps were “almost certainly spikes whose peaks fell between samples” but were read as evidence of low rebound excitability."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,D.3,Statistical Misuse,D,P3,2,HIT,0.85,"Section C, issue C8: “Mechanism fitting was conducted entirely on point estimates with no uncertainty propagated into the selected model”; issue C3 shows the 26 mV sag came from a biased minimum-over-noise estimator never corrected; issue D6 notes the evidence table omits instrument-level uncertainty and resolution."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,D.4,Method-Conclusion Disconnect,D,P1,2,HIT,0.9,"Section D, issue D1: dividing the already-averaged MSE by 4 yields “每项平方误差均值≈9” when total error is 37.27×6=223.62, so “every downstream statement about the failure being ‘systematic but modest’ inherits the error”; Checklist rows 6–7 mark both figures Wrong (6.0×/2.4× low)."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,D.7,Unremediated Adversarial Evidence,D,P3,1,PARTIAL,0.65,"Section D, issue D5: the determinism finding is “filed under findings rather than under threats-to-validity” although it invalidates every registered noise band; issue D7: the 5/15 calibration ledger draws no inference — “A calibration ledger that never feeds back into calibration is a measurement without a controller.”"
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,E.2,Overclaiming & Selective Narrative,E,P3,2,HIT,0.8,"Section E, issue E4: “A reader counting falsified alternatives to gauge rigor gets 6 and should get roughly 4”; issue E2: the bolded top-line asserts the full mechanism tuple without the qualification the evidence supports only for the phenomenon; Section F, issue F2: the 17-attack count is headlined without partitioning tested/paid/merely-noted."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,F.2,Failure to Gate Critical Flaws,F,P2,2,HIT,0.85,"Section F, issue F3: “a single multiplication by 6 would have exposed D1, this is the cheapest missed check in the run”; Section X, issue X4: G17 “was recorded, gated, reconciled, and shipped, and not one of those steps looks at whether 37.27/4 is the right operation.”"
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,F.3,Lack of Adversarial Perspective,F,P2,2,HIT,0.85,"Section F, issue F3: “No verification pass was ever run against the forecast, the one artifact that determined the score… The verification effort was allocated entirely to process artifacts and none to the scientific prediction.”"
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,F.4,Uncorrected Self-Awareness,F,P2,2,HIT,0.75,"Section F, issue F2: attacks G4/G5/G9/G10 “were retired by writing a limitation rather than by testing”, and “‘Identified’ is being scored as ‘addressed’”; Section C, issue C9: the adversary's τ contradiction “was filed into the narrowing statement rather than tested” although C3 shows G4 was resolvable with arithmetic already in hand."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,X.1,Cascading Error Propagation,X,P4,2,HIT,0.9,"Section X, issue X1: “A single un-interrogated measurement channel propagated from B through C, D, E and F, and every downstream check was structurally incapable of catching it… The trace channel was unpoliced from first read to final report.”"
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,X.2,Goal Drift,X,P3,2,HIT,0.8,"Section X, issue X3: “Procedural compliance became the optimization target and displaced the scientific objective”, with spike_forecast_mse having “no check attached to it at all”; issue E3 shows the reconcile-gate regex shaped the report's number formatting while forecast numbers stayed loose."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,X.3,Skeptical Reasoning Deficit,X,P2,2,HIT,0.85,"Trajectory Arc: “measurement skepticism never engages. Nothing in 179 calls asks whether the 256-point subsampled voltage trace… can support the readings taken off it”; Section D, issue D2: the agent “never registered the ambiguity” between low excitability and undersampling."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,X.6,Right-for-the-Wrong-Reason,X,P1,1,PARTIAL,0.55,"Section X, issue X2: “the mechanism claim survives despite three of its four evidential legs being compromised” (clamp artifact, min-selection bias, tautological P5, manufactured H6) while the load-bearing G1/G8 tests get equal prominence — “A reader cannot tell which evidence is doing the work.”"
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,X.8,Engineering Delivery Failure,X,P4,1,PARTIAL,0.5,"Section E, issue E1: “decision.json is empty, so the structured deliverable channel produced nothing”, with no note anywhere registering the omission — though the analysis allows it “may be a harness-shape mismatch rather than a lapse.”"
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,B.3,Unvetted Data Quality & Units,B,P4,1,PARTIAL,0.55,"Section C issue C6 and Numerical Grounding Notes: observed traces are subsampled below recoverable resolution (long step dt = 3.0 ms, meter 25, recount only 6–10 at any threshold), yet trace-derived counts were used without validating that the data could support them."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,B.4,Shallow Search & Coverage Gaps,B,P2,2,HIT,0.65,"Section A issue A4 and Section B issue B4: three of nine pool protocols were never simulated even once despite simulation being free, and no amplitude-dependence characterization was attempted between 5–10 uA, leaving the low-amplitude regime — where the forecast went catastrophically wrong — with zero real data and zero free simulation."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,C.1,Circular Validation & Shortcut Reliance,C,P3,1,PARTIAL,0.55,Core Verdict: the agent discarded every measurement it had paid for and extrapolated from a self-generated artifact; Section C issue C3 shows the amplitude block is numerically reproduced by the agent's own counting code on a coarsely sampled grid.
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,C.4,Execution Faults & Numerical Instability,C,P4,2,HIT,0.7,"Section C issue C1: the spike counter undercounts by 44% on the trace it was applied to (thr=0 → 14 against a meter value of 29), which the analysis calls the central execution failure of this trajectory, with the discrepancy printed side by side at ev147 and not acted on."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,C.8,Environment Interaction Failure,C,P4,1,PARTIAL,0.45,"Section C issue C8: P1's frozen evalCommand was a shell invocation that does not exist in the sandbox and died at exit 127 (ev50–52), a single disclosed instance recovered by re-preregistering as P2."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,D.1,Artifacts as Insights,D,P1,2,HIT,0.9,Section C issue C3: the non-monotonic f–I curve is a decimation artifact — decimating a known 25-spike trace to the paired resolution reproduces the ≈15 — and the agent discovered a property of its own sampling grid and attributed it to the biology.
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,D.3,Statistical Misuse,D,P3,2,HIT,0.8,"Section D issue D3: the ±4 attribution clause was declared calibrated on seed means (range 3) when per-rep range is 9, sd 2.46, making ±4 ≈2.3σ rather than a 95% envelope; issue D2 adds the inconsistent standard of killing H6 at 1.4σ while dismissing a 0.87σ deviation as noise."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,D.4,Method-Conclusion Disconnect,D,P1,2,HIT,0.85,Section D issue D5: H10's registered predictions and the submitted forecast disagree by 20 spikes with no reconciling event; Section C issue C4 notes the 47/42 forecasts invert the directly observed paired 12 uA = 26 by a factor of 1.8.
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,D.7,Unremediated Adversarial Evidence,D,P3,2,HIT,0.75,Section C issue C6: recognizing a bias in a minor side-analysis while it silently destroys the main result is the sharpest form of the diagnosed-but-not-addressed failure; Section D issue D8: G25's |Δ|≤2 ceiling was logged verbatim and then violated by an order of magnitude five events later.
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,E.1,Report-Code Traceability Gap,E,P1,2,HIT,0.65,"Section C issue C7: five of six forecast values were manually raised by +1/+2 between ev148 and ev149 with no intervening computation — an unexplained nudge to the only scored artifact, invisible in the report, called a traceability breach; Section C issue C10 adds the undocumented attack-retrieval path that the report describes as successful collection."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,E.2,Overclaiming & Selective Narrative,E,P3,2,HIT,0.8,"Section E issue E2: the forecast and its MSE are relegated to a bracketed footnote at line 79, so a reader of §1 alone would not learn the one quantitative test failed by RMSE 13; Section D issue D7 frames the 178-MSE miss as important evidence rather than a defect."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,E.3,Omission of Critical Limitations,E,P3,2,HIT,0.8,"Section E issue E5: nowhere does the report state that the agent's own counter returns 14 where the meter returns 29, or that a matching threshold was found and not used — the single most important methodological fact about the run is absent from the deliverable."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,F.1,Superficial Self-Review,F,P2,1,PARTIAL,0.6,"Section F issue F1: metric_recompute and audits re-verified only already-frozen quantities — none touches the forecast, the counter, or the trace arithmetic; the verification budget was spent re-confirming the parts of the run that were already sound."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,F.2,Failure to Gate Critical Flaws,F,P2,2,HIT,0.8,"Section F issue F4: the gate suite passed while the run's central defect went entirely undetected, and the agent read the green as terminal validation; Section C issue C12: no verification ran between deriving the forecast (ev147) and the irreversible submission (ev149)."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,F.3,Lack of Adversarial Perspective,F,P2,1,PARTIAL,0.55,Section F issue F3: five of twelve attacks against H4 were cleared by assertion — a declaration rather than a demonstration — and the report's clearing summary does not distinguish restatement from evidence.
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,F.4,Uncorrected Self-Awareness,F,P2,2,HIT,0.9,"Section C issue C2: at ev106 the agent found thr=−20 reproduces the meter's 26 exactly and stated the correct semantics in prose, then reverted to thr=0 at ev147 — knowledge acquired, validated, stated, and then not applied, the single most consequential discontinuity in the run."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,X.1,Cascading Error Propagation,X,P4,2,HIT,0.9,"Section X issue X1: a measurement-layer defect propagated untouched through the belief-layer verification stack — corrupting the f–I claim, driving the forecast, and surviving analysis, report, and gates because every checkpoint validates relationships between recorded claims, not the arithmetic that produces a claim."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,X.2,Goal Drift,X,P3,2,HIT,0.85,"Section X issue X2: roughly 145 of 179 events served hypothesis bookkeeping while the forecast consumed events 147–149 — effort allocated in inverse proportion to what was scored, explicitly called goal drift produced by a well-designed process."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,X.8,Engineering Delivery Failure,X,P4,1,PARTIAL,0.6,"Section E issue E4: decision.json contains only {} (2 bytes) while REPORT.md carries the full content — a packaging defect the gate suite does not check, leaving any structured downstream consumer with nothing."
