model,task,source_set,code,name,stage,pillar,score,verdict,confidence,evidence
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,E.4,Methodological & Citation Fabrication,E,P1,2,HIT,0.6,"Section C, issue C3 and Checklist row 30: the RULINGS entry claims P8's bands were derived pre-forecast, but “a full-text search of the log for [25,100]/[0,24] returns no occurrence before log 283” — the analysis calls this “the dishonest part… the ruling's provenance claim.”"
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,F.2,Failure to Gate Critical Flaws,F,P2,1,PARTIAL,0.55,"Section E, issue E3 and Section C, issue C8: the report was “gate-checked for format but not for internal consistency” (the §2 vs §4 contradiction on P2=32), and “nobody re-checked the report against the journal before declaring” the mis-transcribed scored forecast (26 vs 27)."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,F.3,Lack of Adversarial Perspective,F,P2,1,PARTIAL,0.55,"Section F, issues F2–F3: all three reviewers were told “观测预算已耗尽（8/8）”, foreclosing the strongest attack class, and the trace gate's independent-review intent “was met procedurally by the same context that holds the belief” via parent-authored G27/G28."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,F.4,Uncorrected Self-Awareness,F,P2,2,HIT,0.6,"Section D, issue D5: G28 demanded H13 be narrowed to a scope-only claim, yet “the register verdict line, the anchor, report §1 and the final summary all still say 掩蔽反跳生成器…SUPPORTED” — “a half-applied self-correction”; issue D1 adds the headline was never re-derived under G27's constraint."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,X.1,Cascading Error Propagation,X,P4,2,HIT,0.7,"Section X, issues X2–X3: the omitted free calibration “propagated through every stage and consumed most of the budget”, and the budget falsehood is “a self-sealing loop spanning execution, review and reporting.”"
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,X.5,Teleological Reasoning,X,P3,1,PARTIAL,0.55,"Section C, issue C3 and Section X, issue X4: P8's bands were frozen after the MSE was known, with the boundary placed so the observed 35.53 sits inside H13's band while the competing scenario's 7.5 sits inside H12's — “the same technique, harmless where it started, became the campaign's decisive evidence.”"
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,X.6,Right-for-the-Wrong-Reason,X,P1,2,HIT,0.65,"Section X, issue X1, titled “Right answer, wrong mechanism-class”: the scored forecast was won by a bet “whose stated grounds were the world's name, the holdout's composition, and the task's guarantee”, while the mechanistic campaign had just concluded “no detectable effect on the training pool.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,A.1,Frame-Lock & Tunnel Vision,A,P2,2,HIT,0.65,"Section A issue A1: five of the six initial hypotheses are named textbook currents despite the prior's “not a named textbook channel”, and “Four of the five share a single discriminative axis”, so P3 killed four at once — a lesson “purchased with 3 of 8 budget units and the whole first act”."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,A.5,Metric Misalignment,A,P3,1,PARTIAL,0.5,"Section A issue A3: “brief step” was never observed and “its forecast (6) is the free reference value 5.6 rounded up, with no real-cell measurement”, while the last budget unit went to a non-scored protocol; “the allocation was never reasoned about in terms of what the score actually depends on.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,A.6,Hypothesis-Experiment Mismatch,A,P1,1,PARTIAL,0.55,"Section D issue D2: “every ‘long-duration’ observation is also a ‘high-amplitude’ observation, so amplitude gating alone (H8) explains the same three numbers”, and the discriminating experiment the report itself names in §7 “was unavailable in the pool”."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,B.2,Retrieval-to-Action Gap,B,P1,2,HIT,0.75,"Section B issue B1: every free reference simulation returned full rep arrays yet “the agent's SIM/REF bookkeeping cells store only the means”; “Retrieval sufficiency here fails not on access but on reduction” — the per-protocol σ was one stdev call away and never computed, so every band inherited the guess."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,B.3,Unvetted Data Quality & Units,B,P4,1,PARTIAL,0.5,"Section D issue D9: server.ts describes world_observe as returning a noisy biased observation, “a file the agent demonstrably read”, yet “the possibility is never mentioned in the register, the attacks, or the report”; the observation channel's noise scale was likewise never validated (D7)."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,B.4,Shallow Search & Coverage Gaps,B,P2,2,HIT,0.75,"Section B issue B2: the mechanism-parameter search was “2 families × 1–2 gains, and never touched the decisive protocol” (long step); “The free simulator was unexhausted (63 calls used, unlimited available) precisely where it mattered most”, echoed in Section C issue C3."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,C.1,Circular Validation & Shortcut Reliance,C,P3,2,HIT,0.85,"Core Verdict and Section C issue C6: P7 returned a byte-identical 190-point voltage trace to P3 (ndiff=0 of 190), so the “independent replication” that migrated H10 to SUPPORTED “was a replay of data already in hand”. Sentence-by-Sentence Checklist rows 2, 14 and 18 mark the independence claim false."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,C.3,Implementation Discrepancy,C,P1,1,PARTIAL,0.55,"Section C issue C4: “round(0.84 × 15.6) = 13, so cond -35/+10 was bumped +1 with no documented reason” — the submitted forecast contradicts its own printed formula. Section D issue D6: the forecast is presented as “基于 H10 机制 + P2 校准” while overriding the mechanism's own prediction for those protocols."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,C.4,Execution Faults & Numerical Instability,C,P4,1,PARTIAL,0.4,"Section C issue C1: the evalCommands index observe events positionally with “No assertion on len(ob)” guarding any of them — “correct but fragile by coincidence”, and one assert “would have removed an entire class of silent failure.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,D.1,Artifacts as Insights,D,P1,2,HIT,0.75,"Section X issue X3: “Unmodeled observation noise was read as mechanism, three times in a row, in opposite directions” — P4=29 read as discovery, P6=22.5 as refutation, P7=35 as confirmation; Section D issues D1 and D4 establish the H8 and H9 kills as band-width artifacts rather than measurements."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,D.2,Confirmation Bias,D,P3,2,HIT,0.7,"Section C issue C7: “when the observation favoured H7 (29), the observation counted; when it disfavoured H10 (29 again, same number), the mean counted” — an estimator switch neither report nor register acknowledges. Section E issue E5: retrospective bands ticked ✓ then flow into §1's confirmations."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,D.3,Statistical Misuse,D,P3,2,HIT,0.85,"Section A issue A4: null-opponent bands (H6, H8, H9, H11) were “designed narrower than the noise of the quantity they predicted”. Section D issue D7 finds three unreconciled noise numbers and no σ ever computed; Section F issue F1: “Not one of them encodes statistical power.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,D.4,Method-Conclusion Disconnect,D,P1,2,HIT,0.8,Section D issue D2: the headline “幅度×时程联合累积” law is underdetermined because “amplitude gating alone (H8) explains the same three numbers” and H8 “fits every observation the survivor H10 fits”. Section C issue C3: the claim “entered the register and the report as a verbal mechanism with zero simulations behind it”.
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,D.7,Unremediated Adversarial Evidence,D,P3,2,HIT,0.75,"Section C issue C2: the X-family check on the hyperpolarization-preceded protocols returned 20.6 and 11.4 (over-predictions of +5.6/+5.4 in the direction H10 denies) and “the numbers 20.6 and 11.4 appear nowhere again: not in H7's registration, not in any note, not in REPORT.md”, while the report claims the opposite. Section D issue D5 adds two same-sign residuals never flagged."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,E.1,Report-Code Traceability Gap,E,P1,1,PARTIAL,0.55,"Section C issue C8: “Two of the report's own ‘recomputable’ claims do not recompute” — the P3 band union is [17,32], not the stated [22,32], and both errors “sit inside a section titled ‘数字均可 metric_recompute 重算’”, though judged “transcription-level, neither changes a conclusion.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,E.2,Overclaiming & Selective Narrative,E,P3,2,HIT,0.85,"Section E issue E2: “均方误差 ≈ 1” understates the scored error of 1.427 by 30% “in every delivered document”, a “uniformly self-flattering” rounding with no gate rule forcing it. Issues E4 and E5 add a P2 row hiding missed bands and skipped branch actions, and retrospective ✓'s counted as confirmations (“counting it in the confirmations is double entry”)."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,E.3,Omission of Critical Limitations,E,P3,1,PARTIAL,0.55,"Section E issue E3: the report's own CONTESTED rule (“未达下限的情形应视为 CONTESTED 而非支持/否证”) is “stated as a principle and applied to nothing” — every observation is n=1 except P6, yet §3 and §8 state the kills unconditionally and §1 announces H10 SUPPORTED in bold."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,F.2,Failure to Gate Critical Flaws,F,P2,2,HIT,0.7,"Section F issue F1: all gates ran green yet “Not one of them encodes statistical power” — a power gate “would have blocked the H8 and H9 kills… at zero budget cost”. Issue F5: “Nothing in the run ever checked the journal for internal consistency of its own observations”, so the P7 replay and the noise inconsistency both passed final validation."
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,F.3,Lack of Adversarial Perspective,F,P2,2,HIT,0.65,"Section F issue F4: after grill-H10 hung, the self-written substitute attacks G12–G14 “are all scope attacks that leave the belief state untouched”; “self-generated attacks cannot find self-blind spots… The obligation was discharged; the function was not performed.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,F.4,Uncorrected Self-Awareness,F,P2,2,HIT,0.8,"Section F issue F2: G1's lesson (“any single-observation band needs σ≈4 widening or reps≥2”) “was recorded and then violated by the very next probe design” — P7, single-rep, 1-spike band gap, “correct, timely, on the record, and not acted on”. Issue F3: G10's warning “recorded at 17:11:14 and reproduced two minutes later” — “the pattern ONBOARDING iron-rule 9 warns about.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,X.1,Cascading Error Propagation,X,P4,2,HIT,0.85,"Section X issue X1: “One unestimated constant at planning time shaped the entire final belief state” — the ±2 noise guess (A2) led to too-narrow bands (A4), then H8/H9 killed by ordinary draws (D1, D4), then H10 reported as confirmed; “the entire cascade is traceable to a quantity that was free to estimate (B1) and never was.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,X.3,Skeptical Reasoning Deficit,X,P2,2,HIT,0.7,Section C issue C6: the agent noticed P7's value identity and “read it as confirmation” — “ONBOARDING §2's ‘too good’ test applies verbatim”. Section D issue D9: the meter's own “带噪偏观测” (biased observation) warning “was read and never considered” anywhere.
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,X.4,"""Honest-but-Hollow"" Output",X,P3,2,HIT,0.8,"Section X issue X4: “Form substituted for power, and the substitution was rewarded” — every structural safeguard honored, yet “The actual evidential content is one solid 2.7σ observation, one correct sign argument, and a correct empirical forecast heuristic”; the run produces “beautifully documented underdetermination.”"
qwen38max,2026-08-27-d_type__38max-direct-r1,unknown,X.6,Right-for-the-Wrong-Reason,X,P1,2,HIT,0.85,"Section X issue X2: the scored observable “was hit by a pipeline that is nearly disjoint from the mechanism campaign” — “ONBOARDING's ‘right for the wrong reason’ class, in the benign direction”. Section C issue C4: the good result is “luck-compatible, not derived” (four free parameters plus an undocumented +1)."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,A.1,Frame-Lock & Tunnel Vision,A,P2,2,HIT,0.75,"Section A, issue A2: “the candidate space omitted the one single-current alternative that explains both signatures at once” (inactivating Ih hybrid) — “never registered, never simulated, and never attacked”; issue A3 adds unacknowledged anchoring on the world name “h_sag”."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,A.5,Metric Misalignment,A,P3,1,PARTIAL,0.55,"Section A, issue A5: “a scored, controllable uncertainty was left to model extrapolation by omission rather than by decision” (brief step never observed); Section C, issue C6: the sag, the campaign's core phenomenon, “exists only as prose readings of traces”, never in the metric system."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,A.6,Hypothesis-Experiment Mismatch,A,P1,2,HIT,0.8,"Section C, issue C2: “P5's design could not answer the question it was preregistered to answer” — a variance question adjudicated by re-running the identical (world, seed, protocol, reps), a probe with “zero variance-estimation power”."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,B.2,Retrieval-to-Action Gap,B,P1,2,HIT,0.7,"Section D, issue D3: “The rebound under-prediction was made despite — not for lack of — decisive in-hand evidence”; Section B, issue B2: the P2 trace showing a sustained near-threshold plateau was “never processed beyond eyeballing” and never applied to the forecast."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,C.1,Circular Validation & Shortcut Reliance,C,P3,2,HIT,0.8,"Section C, issue C3: H5's long-step band [21,26] was “written around the number it later ‘confirmed’” (predicts text says “与实测 22 兼容”); Section X, issue X1: P5 was “a deterministic replay that could not have returned anything but 22”, laundering “zero prospective information” into a SUPPORTED verdict."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,C.7,Premature Termination,C,P2,1,PARTIAL,0.6,"Section B, issue B1: “one KeyError ended the branch” — the rebound family was “never simulated, proxied, or amplitude-checked” and the agent “never returned to the question”."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,C.8,Environment Interaction Failure,C,P4,1,PARTIAL,0.55,"Section C, issue C4: four world_simulate calls missing mode=candidate, two TypeErrors from a nested mechanism dict, and the rebound KeyError — “interface friction burned a handful of free calls and one entire simulation branch”."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,D.3,Statistical Misuse,D,P3,2,HIT,0.75,"Section A, issue A6: severity probabilities “asserted, not derived — and at least one is off by ~3× under its own stated noise model”; Section D, issue D4: facilitation deltas +1.1/+0.8 treated as “方向与幅度” support “while being smaller than the run's own noise convention”."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,D.4,Method-Conclusion Disconnect,D,P1,2,HIT,0.8,"Section D, issue D1: the report keeps “慢钠失活动力学” as an established model component while “nothing in the reachable space reproduces the decisive observation” (best candidate 25.4/26.4 vs observed 22) — “The accurate statement … is never made”. Checklist row 2 is ⚠️."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,D.6,Result Hallucination,D,P1,2,HIT,0.95,"Section C, issue C1: “The forecast-error decomposition is fabricated, repeated three times, and arithmetically impossible” — the meter returns only a scalar, yet §6/G17/summary state “每项平方误差均值≈9，平均偏差≈3 spike”. Sentence-by-Sentence Checklist rows 15 and 24 are ❌ for this invented number."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,E.1,Report-Code Traceability Gap,E,P1,1,PARTIAL,0.55,"Section C, issue C9: prereg bands “quietly differed from the registered predictions in at least five places, and the calibration ledger displays the prereg bands as ‘预测’” — “the claimed single-source-of-truth for predictions was never actually unified”."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,E.2,Overclaiming & Selective Narrative,E,P3,2,HIT,0.8,"Section E, issue E1: §3's headline “全部带内命中都对应当时做出的裁决” is contradicted by its own following sentences (Checklist row 9 ❌ — 3 of 5 in-band hits produced no ruling); issue E4: “全部预登记先于观测” is “the difference between disclosure and packaging”; issue E3 hides that dead H3 bracketed the truth once."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,E.4,Methodological & Citation Fabrication,E,P1,1,PARTIAL,0.5,"Section D, issue D6: G13's falsifier was “untestable by construction, and was then declared to have fired” — “The run performed a falsification test it could not run”; Checklist row 16 is ❌."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,F.1,Superficial Self-Review,F,P2,1,PARTIAL,0.6,"Section F, issue F4: “the pre-declare self-check verified gate-passability, not content” — the moment “was spent on formatting” while “每项平方误差均值≈9” shipped with “no computable source”."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,F.2,Failure to Gate Critical Flaws,F,P2,1,PARTIAL,0.6,"Section F, issue F3: “The formal verification stack checked records against records, never models against reality — and the one cheap reality check was skipped” (comparing deviations to the reference rep spread)."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,F.3,Lack of Adversarial Perspective,F,P2,1,PARTIAL,0.5,"Section B, issue B3: the adversary was fed “the parent's hand-summarized context”, so for derived quantities “the reviewer was reviewing a summary of a summary, and the one factual error that most damaged the forecast was invisible to it”."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,F.4,Uncorrected Self-Awareness,F,P2,2,HIT,0.85,"Section F, issue F1: attack G3 (“P4 落地后，H5 相对任何未登记的活竞争者后验没有移动”) was “recorded, marked no_change, and never answered — while P4 kept its ‘support H5’ billing”; issue F2 calls this the run's “naming the flaw ≠ addressing it” instance, with G7's clearance covering only one of three named quantities."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,F.5,Review Score Hacking,F,P3,1,PARTIAL,0.5,"Section C, issue C10: “the gate read is meta-gaming the format of the judge” (reading gate sources “so I don't get rejected on number formatting”); Section F, issue F4: delivered numbers “evade the bare-decimal pattern via ≈/约”."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,X.1,Cascading Error Propagation,X,P4,1,PARTIAL,0.5,"Section B, issue B3 → Section D, issue D3: the misread “gap 内 1 个完整尖峰” propagated into the adversary's attack record (G14's wrong small-rebound conclusion) and then anchored the forecast items carrying ~93% of the squared error."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,X.2,Goal Drift,X,P3,2,HIT,0.85,"Section X, issue X2: “Goal drift: attention and the last budget unit flowed to belief-state hygiene while the scored observable's dominant error source sat unexamined in already-purchased data” — “mechanism-grade rigor on the unscored question, glance-grade rigor on the scored one”."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,X.3,Skeptical Reasoning Deficit,X,P2,1,PARTIAL,0.55,"Section X, issue X3 and Section D, issue D2: the determinism finding was “over-generalized and then used with conflated logic”, and the summary's “‘单次抽样噪声’假设整体不成立” is “straightforwardly false as written”."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,X.5,Teleological Reasoning,X,P3,1,PARTIAL,0.65,"Section C, issue C3: the band [21,26] was “drawn to enclose the known observation” with the prediction text admitting “与实测 22 兼容”; Section X, issue X1: the composition “delivers a SUPPORTED verdict whose long-step axis contained zero prospective information”."
qwen38max,2026-08-27-h_sag__38max-direct-r1,unknown,X.6,Right-for-the-Wrong-Reason,X,P1,1,PARTIAL,0.55,"Section X, issue X3(ii): the long-step forecast anchor at 22 is correct (error ≈0) but “silently assumes the meter's gold equals the seeded draw rather than a noiseless mean — an assumption about the scoring function the agent never stated, verified, or even flagged as load-bearing”."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,A.2,Unfalsifiable Hypothesis,A,P3,1,PARTIAL,0.5,"Section D, issue D5: H10's bands ([26,30], [24,28]) contain the submitted forecasts (30, 25), so “机制定性存活” is “true only in the vacuous sense that nothing scored could have killed it.”"
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,A.5,Metric Misalignment,A,P3,2,HIT,0.7,"Section A, issue A5: “The amplitude axis — the axis the scored held-out set varies — was never treated as a hypothesis”; all four observations sit off the 8–14 uA paired range of the scored set, and the analysis calls this “the single planning decision that determined the score.”"
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,A.6,Hypothesis-Experiment Mismatch,A,P1,2,HIT,0.75,"Section A, issue A1: H1's registered prediction band “was guaranteed to test the wrong quantity” because the harness's slow_na flag acts as tonic inward gain, so “the band registered is a band for the instrument, not for the hypothesis.”"
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,B.3,Unvetted Data Quality & Units,B,P4,2,HIT,0.75,"Section B, issue B2: “single 12 uA ≈ 15” — the anchor for two scored forecasts — “was never measured; it is half of a paired total, and the agent's own decompositions of that total disagree”; issue B3 adds the index-to-time alignment “was never established,” giving every per-phase number an unstated error bar."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,B.4,Shallow Search & Coverage Gaps,B,P2,2,HIT,0.8,"Section B, issue B1: “Three of the nine pool protocols were never simulated, including the two that answer the campaign's own open questions for free,” with retrieval sufficiency (iron rule 7) failing “not for lack of access but for lack of action.”"
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,B.6,Low Signal-to-Noise Prioritization,B,P2,2,HIT,0.6,"Section A, issue A3: two of eight budget units went to the self-manufactured strawman H5 while “the axis that actually discriminates the surviving candidates… received zero units”; issue B1: free budget “was spent re-running near-identical slowK conductance tweaks.”"
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,C.1,Circular Validation & Shortcut Reliance,C,P3,2,HIT,0.7,"Section D, issue D5: “H10's registered bands were written to contain the values then submitted, so the terminal measurement could not have tested it”; the analysis concludes “the scored outcome is structurally incapable of bearing on H10 in either direction.”"
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,C.2,Grader-Fitting & Data Leakage,C,P3,1,PARTIAL,0.5,"Section C, issue C2: H3's band was nudged [10,20]→[10,19] with “sole function… to create a disjoint pair,” and H5 was moved LIVE “solely so that prereg would accept bands”; issue E3: the 0.5 mV threshold was deleted to pass the reconcile gate — “The gate's decimal rule shaped the science's precision downward.”"
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,C.3,Implementation Discrepancy,C,P1,1,PARTIAL,0.55,"Section C, issue C1: the post-hoc ledger-recompute estimator's “equivalence to the frozen estimand is never checked,” and G4 was answered “以口径声明应答” — “answered with a declaration is not an answer.”"
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,C.6,Search Space Local Optimization,C,P2,1,PARTIAL,0.45,"Section B, issue B1: “free simulation budget was spent re-running near-identical slowK conductance tweaks”; issue C7: the four-point slowK g=0.2 fit and a nafat variant were produced “and then discarded,” never used in the forecast."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,C.8,Environment Interaction Failure,C,P4,1,PARTIAL,0.4,"Section F, issue F4: at event 131 the agent asserted the paired spike_count counts only the second-pulse window and “immediately used it,” testing and reversing the claim only at events 138–139."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,D.3,Statistical Misuse,D,P3,2,HIT,0.75,"Section A, issue A2: H6's kill band sits ~0.5σ from the null mean, making the kill “a 1.4σ statement about a boundary that is itself 0.5σ from the null mean”; issues X4/F3 note the killing bands “were never re-examined against a seed distribution by the parent,” and issue C6 notes the forecast had no sensitivity check before irreversible submission."
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,D.4,Method-Conclusion Disconnect,D,P1,2,HIT,0.8,"Section D, issue D2: G26 “mis-attributes the falsified channel” — the forecast was H4 (null-model)-based yet “the LIVE mechanism is recorded as the thing that was falsified” (Checklist row 24 ❌); issue A4: the headline mechanism “rests on a band, not a model.”"
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,D.5,Baseline & Ablation Deficit,D,P2,2,HIT,0.65,"Section D, issue D7: “No comparison against any trivial baseline is attempted — e.g. what a flat forecast of 26–30 per protocol… would have scored, which is the natural null.”"
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,D.7,Unremediated Adversarial Evidence,D,P3,2,HIT,0.7,"Section C, issue C4: the ISI adaptation-ratio evidence (a 2–3× deviation favouring a real mechanism) “was demoted to a footnote and never integrated… it never appears in §1's conclusion, §5's survivor discussion, or the forecast.”"
qwen38max,2026-08-27-na_fatigue__38max-direct-r1,unknown,E.1,Report-Code Traceability Gap,E,P1,2,HIT,0.75,"Section B, issue B4: the load-bearing null statistics “are absent from the parent's journal and world-ledger, and were never re-derived by the parent”; issue E4: “the n=13/27.35 pair is not recomputable from any delivered artifact”; Checklist row 14 ❌ (“no shown decomposition yields 15”)."
